,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum
0,59.869,0.765,0.921061538,65,0.762472716,0.581364642,4.151,0.184
0,118.14,2.088,2.74744186,43,2.019865967,4.079858526,8.51,0.162
0,118.482,1.285,1.942327869,61,1.476519875,2.180110942,7.988,0.227
0,119.078,1.262,2.089087719,57,2.013733813,4.055123869,8.78,0.028
0,123.091,1.287,2.086288136,59,1.65689617,2.745304917,7.466,0.03
0,120.498,1.279,2.042338983,59,2.497654389,6.238277444,13.314,0.166
0,119.003,1.42,2.644511111,45,2.784825138,7.75525105,13.242,0.256
0,84.426,3.4955,3.837545455,22,2.467722703,6.089655339,9.899,0.156
0,119.56,0.345,0.49,244,0.429476254,0.184449852,4.385,0.077
0,120.335,0.391,0.499315353,241,0.400618971,0.16049556,3.11,0.018
